1,698686589
2,706856979
3,711169157
4,732036788
5,759958540
6,784914534
7,789230163
8,817769790
9,830228235
10,851103731
11,859502932
12,863544774
13,878132555
14,907117332
15,936634661
16,952765218
17,956850455
18,975786436
19,982300025
20,986638831
21,990675930
22,1005272053
23,1013008321
24,1015480302
25,1027904987
26,1034104312
27,1087691187
28,1092006790
29,1129319901
30,1144900038
31,1149211988
32,1170079589
33,1182496669
34,1203314092
35,1245947213
36,1252269410
37,1265006423
38,1266798460
39,1275835216
40,1290537827
41,1294885206
42,1300989423
43,1305074041
44,1309626753
45,1338850232
46,1383941656
47,1385889339
48,1398313998
49,1405037601
50,1412780053
51,1418769584
52,1423108154
53,1427145231
54,1442265636
55,1456868087
56,1460953282
57,1477280453
58,1506797812
59,1514880158
60,1554435622
61,1562835077
62,1566876691
63,1587686635
64,1600145118
65,1615537302
66,1636388515
67,1645058765
68,1692428405
69,1696727620
70,1700814550
71,1722209838
72,1726253756
73,1730601101
74,1753046560
75,1782308935
76,1811516018
77,1821658729
78,1825968895
79,1834361952
80,1854975144
81,1863358983
82,1867695761
83,1902538591
84,1927461681
85,1931530504
86,1951208735
87,1972338474
88,1980476232
89,1984559058
90,2005638631
91,2022866916
92,2035291605
93,2065083278
94,2084123395
95,2113624374
96,2117980622
97,2143151981
98,2147466235
99,-2128676053
100,-2103824571
101,-2091367052
102,-2076868245
103,-2047349922
104,-2039267532
105,-1997870184
106,-1993834079
107,-1955708934
108,-1945895967
109,-1908062790
110,-1886965873
111,-1875660574
112,-1846420777
113,-1793537374
114,-1768153392
115,-1755417351
116,-1744450964
117,-1706855373
118,-1686036986
119,-1662199267
120,-1657884628
121,-1620570509
122,-1576676764
123,-1562219953
124,-1558183814
125,-1547192235
126,-1538407327
127,-1532330930
128,-1519905157
129,-1517310376
130,-1468721487
131,-1447592824
132,-1439454998
133,-1405492611
134,-1386320655
135,-1376024500
136,-1361397601
137,-1357327702
138,-1330885177
139,-1318180878
140,-1289184855
141,-1270522446
142,-1260340981
143,-1256008898
144,-1241259031
145,-1212053024
146,-1170525895
147,-1159952106
148,-1155603677
149,-1141286128
150,-1133304004
151,-1131110633
152,-1118374622
153,-1112453875
154,-1060718262
155,-1056648321
156,-1037704276
157,-1019056856
158,-1008236131
159,-1003509441
160,-966191256
161,-945062575
162,-900610632
163,-894009957
164,-881584210
165,-879513727
166,-870722635
167,-855741542
168,-851705425
169,-841238140
170,-764467475
171,-762798398
172,-750062345
173,-743617316
174,-735629072
175,-725579581
176,-721231114
177,-706389287
178,-668999104
179,-639793143
180,-631677849
181,-620971810
182,-616639765
183,-583755648
184,-558871534
185,-546167257
186,-531020689
187,-509923750
188,-501220808
189,-420025791
190,-415989640
191,-395362587
192,-366378818
193,-336860533
194,-326750572
195,-314293083
196,-285017346
197,-244052058
198,-219096116
199,-214781443
200,-195070490
201,-174252077
202,-166081603
203,-125821159
204,-113085136
205,-83571849
206,-60223632
207,-30428873
208,-1189118
209,9219441
210,17603538
211,21940040
212,42487744
213,55190921
214,69722514
215,107044809
216,146462715
217,150506349
218,154853724
219,184314276
220,188613525
221,202480412
222,240592195
223,261443446
224,270651419
225,295823036
226,300137006
227,304427734
228,308768324
229,333928675
230,353020507
231,378437173
232,390861828
233,404204177
234,408286727
235,429366322
236,441521354
237,462651135
238,466690665
239,486456040
240,490524881
241,528117386
242,538136664
243,567360097
244,571978393
245,586156726
246,590504067
247,597132346
248,601217200
249,610247836
250,616045751
251,628782722
252,631099053
253,677869132
